INSTNM,CONTROL,TUITIONFEE_IN,DEBT_MDN,MD_EARN_WNE_P10,C150_4,STABBR
Wayne State College,1,8216.0,12240.0,47075.0,0.5215,NE
George Fox University,2,42750.0,19500.0,59761.0,0.7196,OR
American University of Health Sciences,3,24575.0,32484.0,93610.0,0.5,CA
Hamline University,2,50004.0,15750.0,61106.0,0.6045,MN
Howard University,2,35810.0,19200.0,63066.0,0.6996,DC
Pacific University,2,56374.0,17036.0,60583.0,0.6698,OR
Stockton University,1,16266.0,16380.0,57602.0,0.6854,NJ
Webster University,2,31750.0,18500.0,50876.0,0.6439,MO
Life Pacific University,2,22118.0,14000.0,43299.0,0.404,CA
Landmark College,2,66540.0,8875.0,29813.0,0.4302,VT
University of North Carolina at Chapel Hill,1,8994.0,12989.0,72200.0,0.9117,NC
University of Minnesota-Crookston,1,13288.0,12500.0,58056.0,0.4976,MN
Nevada State University,1,6765.0,12547.0,53166.0,0.3358,NV
West Virginia University Institute of Technology,1,8424.0,15500.0,55939.0,0.3296,WV
Eureka College,2,29096.0,15000.0,51641.0,0.4161,IL
Suffolk University,2,47550.0,20500.0,67506.0,0.6088,MA
University of Saint Joseph,2,47278.0,24000.0,59908.0,0.6376,CT
NUC University,3,12698.0,9500.0,24785.0,0.5435,PR
Thomas Aquinas College,2,30200.0,18000.0,55619.0,0.843,CA
Marion Technical College,1,6595.0,5500.0,41495.0,0.3062,OH
Morningside University,2,39660.0,15750.0,55494.0,0.5014,IA
University of Arkansas,1,10104.0,15749.0,58191.0,0.7052,AR
Mission University,2,16950.0,16000.0,38641.0,0.4444,MO
Creighton University,2,48856.0,21500.0,73911.0,0.8336,NE
Mount St. Joseph University,2,38150.0,18837.0,51509.0,0.5633,OH
Lakeland University,2,33396.0,19500.0,55961.0,0.4245,WI
York College of Pennsylvania,2,25588.0,19500.0,61012.0,0.641,PA
Stevens-The Institute of Business & Arts,3,14332.0,21000.0,29058.0,0.1429,MO
Nebraska Wesleyan University,2,43572.0,17500.0,56405.0,0.6612,NE
Point Park University,2,39570.0,20957.0,45856.0,0.5854,PA
Strayer University-Texas,3,13920.0,14000.0,40092.0,0.25,TX
Pennsylvania Academy of the Fine Arts,2,44600.0,19500.0,29881.0,0.5758,PA
Virginia Polytechnic Institute and State University,1,15948.0,19000.0,81698.0,0.8622,VA
Louisiana Tech University,1,10125.0,15000.0,52279.0,0.6382,LA
Dalton State College,1,3336.0,7361.0,40251.0,0.2531,GA
Pennsylvania State University-Penn State York,1,15208.0,19500.0,63435.0,0.1627,PA
George Mason University,1,14220.0,15750.0,76343.0,0.6784,VA
Mount Marty University,2,34600.0,14750.0,48179.0,0.5238,SD
American National University-Pikeville,3,12456.0,10814.0,28188.0,0.5,KY
SUNY Old Westbury,1,8422.0,12000.0,58526.0,0.4457,NY
Rutgers University-Newark,1,17250.0,19000.0,74479.0,0.6375,NJ
Lander University,1,11700.0,12503.0,42396.0,0.4977,SC
The University of Texas at San Antonio,1,9011.0,15000.0,57131.0,0.5264,TX
Molloy University,2,39790.0,24250.0,77789.0,0.6993,NY
Daytona State College,1,3106.0,5500.0,37096.0,0.4323,FL
Wilmington College,2,32082.0,14782.0,48491.0,0.4727,OH
Florida Memorial University,2,20174.0,16475.0,36624.0,0.311,FL
Strayer University-North Carolina,3,13920.0,14000.0,40092.0,0.3333,NC
The College of New Jersey,1,19632.0,21500.0,73323.0,0.8585,NJ
